country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","21-08-2025 09:00:00",16.536107,80.594233,PM10,67,73,69
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","21-08-2025 09:00:00",16.536107,80.594233,SO2,14,20,17
India,Andhra_Pradesh,Vijayawada,"HB Colony, Vijayawada - APPCB","21-08-2025 09:00:00",16.536107,80.594233,CO,34,40,36
India,Andhra_Pradesh,Vijayawada,"Rajiv Gandhi Park, Vijayawada - APPCB","21-08-2025 09:00:00",16.509717,80.612222,PM2.5,44,63,54
India,Andhra_Pradesh,Vijayawada,"Rajiv Nagar, Vijayawada - APPCB","21-08-2025 09:00:00",16.554731,80.649110,OZONE,NA,NA,NA
India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB","21-08-2025 09:00:00",17.72,83.3,SO2,7,28,15
India,Arunachal_Pradesh,Naharlagun,"Naharlagun, Naharlagun - APSPCB","21-08-2025 09:00:00",27.103358,93.679645,PM2.5,3,51,19
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","21-08-2025 09:00:00",25.5626095,84.663264,OZONE,7,10,8
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","21-08-2025 09:00:00",24.75746,84.366208,SO2,1,20,9
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","21-08-2025 09:00:00",24.75746,84.366208,CO,7,30,28
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB","21-08-2025 09:00:00",24.75746,84.366208,OZONE,5,12,10
India,Bihar,Begusarai,"Lohiyanagar, Begusarai - BSPCB","21-08-2025 09:00:00",25.42742023,86.13886079,SO2,8,32,10
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB","21-08-2025 09:00:00",26.80365,84.51954,CO,22,116,45
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","21-08-2025 09:00:00",25.265194,87.012947,PM2.5,2,55,17
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB","21-08-2025 09:00:00",25.7808257,84.7446768,SO2,8,9,9
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","21-08-2025 09:00:00",24.7955,84.9994,CO,7,43,26
India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB","21-08-2025 09:00:00",24.762518,84.982348,CO,13,108,21
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","21-08-2025 09:00:00",25.697189,85.245900,PM2.5,26,66,40
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","21-08-2025 09:00:00",25.697189,85.245900,NO2,6,35,13
India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB","21-08-2025 09:00:00",25.697189,85.245900,OZONE,9,60,18
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","21-08-2025 09:00:00",25.560083,87.553265,PM2.5,33,40,36
India,Bihar,Katihar,"Mirchaibari, Katihar - BSPCB","21-08-2025 09:00:00",25.560083,87.553265,SO2,20,24,22
India,Bihar,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB","21-08-2025 09:00:00",26.0881305,87.93840336,PM2.5,33,133,54
India,Bihar,Manguraha,"Forest Rest House, Manguraha - BSPCB","21-08-2025 09:00:00",27.308328,84.531742,PM2.5,NA,NA,NA
